date,datetime,cash_type,card,money,coffee_name,month,day,hour,total_sales,day_name,month_name,is_weekend
2024-03-01,2024-03-01 10:15:50.520,card,ANON-0000-0000-0001,38.7,Latte,3,1,10,38.7,Friday,March,False
2024-03-01,2024-03-01 12:19:22.539,card,ANON-0000-0000-0002,38.7,Hot Chocolate,3,1,12,38.7,Friday,March,False
2024-03-01,2024-03-01 12:20:18.089,card,ANON-0000-0000-0002,38.7,Hot Chocolate,3,1,12,38.7,Friday,March,False
2024-03-01,2024-03-01 13:46:33.006,card,ANON-0000-0000-0003,28.9,Americano,3,1,13,28.9,Friday,March,False
2024-03-01,2024-03-01 13:48:14.626,card,ANON-0000-0000-0004,38.7,Latte,3,1,13,38.7,Friday,March,False
2024-03-01,2024-03-01 15:39:47.726,card,ANON-0000-0000-0005,33.8,Americano with Milk,3,1,15,33.8,Friday,March,False
2024-03-01,2024-03-01 16:19:02.756,card,ANON-0000-0000-0006,38.7,Hot Chocolate,3,1,16,38.7,Friday,March,False
2024-03-01,2024-03-01 18:39:03.580,card,ANON-0000-0000-0007,33.8,Americano with Milk,3,1,18,33.8,Friday,March,False
2024-03-01,2024-03-01 19:22:01.762,card,ANON-0000-0000-0008,38.7,Cocoa,3,1,19,38.7,Friday,March,False
2024-03-01,2024-03-01 19:23:15.887,card,ANON-0000-0000-0008,33.8,Americano with Milk,3,1,19,33.8,Friday,March,False
2024-03-01,2024-03-01 19:29:17.391,card,ANON-0000-0000-0009,33.8,Americano with Milk,3,1,19,33.8,Friday,March,False
2024-03-02,2024-03-02 10:22:06.957,card,ANON-0000-0000-0010,28.9,Americano,3,2,10,28.9,Saturday,March,True
2024-03-02,2024-03-02 10:41:41.249,card,ANON-0000-0000-0011,33.8,Americano with Milk,3,2,10,33.8,Saturday,March,True
2024-03-02,2024-03-02 11:59:45.484,card,ANON-0000-0000-0012,33.8,Americano with Milk,3,2,11,33.8,Saturday,March,True
2024-03-02,2024-03-02 14:38:35.535,card,ANON-0000-0000-0013,28.9,Americano,3,2,14,28.9,Saturday,March,True
2024-03-02,2024-03-02 16:37:24.475,card,ANON-0000-0000-0014,33.8,Americano with Milk,3,2,16,33.8,Saturday,March,True
2024-03-02,2024-03-02 17:34:54.969,card,ANON-0000-0000-0004,28.9,Americano,3,2,17,28.9,Saturday,March,True
2024-03-03,2024-03-03 10:27:18.561,card,ANON-0000-0000-0015,38.7,Latte,3,3,10,38.7,Sunday,March,True
2024-03-03,2024-03-03 11:33:56.118,card,ANON-0000-0000-0016,28.9,Cortado,3,3,11,28.9,Sunday,March,True
2024-03-03,2024-03-03 12:26:56.098,card,ANON-0000-0000-0012,28.9,Americano,3,3,12,28.9,Sunday,March,True
2024-03-03,2024-03-03 13:09:36.321,card,ANON-0000-0000-0017,38.7,Hot Chocolate,3,3,13,38.7,Sunday,March,True
2024-03-03,2024-03-03 17:06:40.271,card,ANON-0000-0000-0018,38.7,Cocoa,3,3,17,38.7,Sunday,March,True
2024-03-03,2024-03-03 17:08:45.895,card,ANON-0000-0000-0019,28.9,Cortado,3,3,17,28.9,Sunday,March,True
2024-03-03,2024-03-03 18:03:23.369,card,ANON-0000-0000-0020,33.8,Americano with Milk,3,3,18,33.8,Sunday,March,True
2024-03-03,2024-03-03 18:04:27.946,card,ANON-0000-0000-0020,33.8,Americano with Milk,3,3,18,33.8,Sunday,March,True
2024-03-03,2024-03-03 18:08:04.959,card,ANON-0000-0000-0020,38.7,Hot Chocolate,3,3,18,38.7,Sunday,March,True
2024-03-04,2024-03-04 10:03:51.994,card,ANON-0000-0000-0001,38.7,Latte,3,4,10,38.7,Monday,March,False
2024-03-04,2024-03-04 10:54:50.958,card,ANON-0000-0000-0021,38.7,Latte,3,4,10,38.7,Monday,March,False
2024-03-04,2024-03-04 11:05:16.184,card,ANON-0000-0000-0012,33.8,Americano with Milk,3,4,11,33.8,Monday,March,False
2024-03-04,2024-03-04 14:04:37.734,card,ANON-0000-0000-0022,24.0,Espresso,3,4,14,24.0,Monday,March,False
2024-03-05,2024-03-05 09:59:52.651,card,ANON-0000-0000-0001,38.7,Latte,3,5,9,38.7,Tuesday,March,False
2024-03-05,2024-03-05 14:34:55.963,card,ANON-0000-0000-0023,38.7,Latte,3,5,14,38.7,Tuesday,March,False
2024-03-05,2024-03-05 17:34:06.043,card,ANON-0000-0000-0024,38.7,Latte,3,5,17,38.7,Tuesday,March,False
2024-03-05,2024-03-05 17:35:25.021,card,ANON-0000-0000-0025,38.7,Hot Chocolate,3,5,17,38.7,Tuesday,March,False
2024-03-05,2024-03-05 17:36:28.571,card,ANON-0000-0000-0026,38.7,Cocoa,3,5,17,38.7,Tuesday,March,False
2024-03-05,2024-03-05 17:37:13.659,card,ANON-0000-0000-0027,38.7,Hot Chocolate,3,5,17,38.7,Tuesday,March,False
2024-03-05,2024-03-05 17:38:09.354,card,ANON-0000-0000-0009,38.7,Hot Chocolate,3,5,17,38.7,Tuesday,March,False
2024-03-05,2024-03-05 17:56:15.776,card,ANON-0000-0000-0028,28.9,Cortado,3,5,17,28.9,Tuesday,March,False
2024-03-05,2024-03-05 18:01:31.242,card,ANON-0000-0000-0028,38.7,Hot Chocolate,3,5,18,38.7,Tuesday,March,False
2024-03-06,2024-03-06 13:24:07.667,card,ANON-0000-0000-0012,28.9,Americano,3,6,13,28.9,Wednesday,March,False
2024-03-06,2024-03-06 13:25:14.351,card,ANON-0000-0000-0012,28.9,Cortado,3,6,13,28.9,Wednesday,March,False
2024-03-06,2024-03-06 14:52:01.761,card,ANON-0000-0000-0029,38.7,Cappuccino,3,6,14,38.7,Wednesday,March,False
2024-03-06,2024-03-06 14:53:18.344,card,ANON-0000-0000-0029,38.7,Cappuccino,3,6,14,38.7,Wednesday,March,False
2024-03-07,2024-03-07 10:18:40.543,card,ANON-0000-0000-0030,38.7,Hot Chocolate,3,7,10,38.7,Thursday,March,False
2024-03-07,2024-03-07 11:03:58.976,card,ANON-0000-0000-0031,38.7,Latte,3,7,11,38.7,Thursday,March,False
2024-03-07,2024-03-07 15:40:22.606,card,ANON-0000-0000-0032,28.9,Americano,3,7,15,28.9,Thursday,March,False
2024-03-07,2024-03-07 15:41:28.784,card,ANON-0000-0000-0033,33.8,Americano with Milk,3,7,15,33.8,Thursday,March,False
2024-03-08,2024-03-08 10:34:41.283,card,ANON-0000-0000-0012,28.9,Cortado,3,8,10,28.9,Friday,March,False
2024-03-08,2024-03-08 12:22:28.653,card,ANON-0000-0000-0034,38.7,Cappuccino,3,8,12,38.7,Friday,March,False
2024-03-08,2024-03-08 13:53:02.042,card,ANON-0000-0000-0035,28.9,Americano,3,8,13,28.9,Friday,March,False
2024-03-08,2024-03-08 14:44:12.686,card,ANON-0000-0000-0012,28.9,Americano,3,8,14,28.9,Friday,March,False
2024-03-08,2024-03-08 14:45:11.048,card,ANON-0000-0000-0033,28.9,Americano,3,8,14,28.9,Friday,March,False
2024-03-08,2024-03-08 14:46:11.155,card,ANON-0000-0000-0012,33.8,Americano with Milk,3,8,14,33.8,Friday,March,False
2024-03-08,2024-03-08 18:57:51.451,card,ANON-0000-0000-0036,38.7,Latte,3,8,18,38.7,Friday,March,False
2024-03-08,2024-03-08 18:59:24.941,card,ANON-0000-0000-0037,38.7,Latte,3,8,18,38.7,Friday,March,False
